Actual,Predicted,Residual,AbsError
181000,163147.7142746192,17852.28572538079,17852.28572538079
130000,112367.884858557,17632.115141443006,17632.115141443006
235128,252650.85235769418,-17522.85235769418,17522.85235769418
84900,102415.69822663038,-17515.698226630382,17515.698226630382
200141,182798.92641253554,17342.07358746446,17342.07358746446
315000,332213.4807100112,-17213.48071001121,17213.48071001121
135000,117832.1686543392,17167.8313456608,17167.8313456608
132000,149090.2787479401,-17090.278747940087,17090.278747940087
210000,226864.04435783753,-16864.044357837527,16864.044357837527
262500,279133.99489599,-16633.994895990007,16633.994895990007
153500,169927.3400716723,-16427.34007167231,16427.34007167231
97000,113283.83282978684,-16283.832829786843,16283.832829786843
129500,145681.76587698737,-16181.765876987367,16181.765876987367
85000,101081.58604043178,-16081.58604043178,16081.58604043178
104000,119869.96660186244,-15869.966601862441,15869.966601862441
281000,265190.4270090848,15809.572990915214,15809.572990915214
194500,210259.49183569397,-15759.491835693974,15759.491835693974
175000,159249.87243314405,15750.127566855954,15750.127566855954
174500,189612.92761359524,-15112.927613595239,15112.927613595239
132500,147308.600049695,-14808.600049695,14808.600049695
160000,145209.94431512244,14790.05568487756,14790.05568487756
243000,228224.27710895773,14775.722891042271,14775.722891042271
113000,127742.07679515754,-14742.07679515754,14742.07679515754
265979,251354.42263259407,14624.577367405931,14624.577367405931
219500,205083.7712199753,14416.228780024714,14416.228780024714
320000,334184.05120472435,-14184.051204724354,14184.051204724354
207000,193243.67754384727,13756.322456152731,13756.322456152731
110000,123750.22692775648,-13750.226927756477,13750.226927756477
253000,239300.45909225856,13699.540907741437,13699.540907741437
133700,120037.61287665715,13662.38712334285,13662.38712334285
182900,196509.31990882673,-13609.319908826728,13609.319908826728
188000,201398.92114302705,-13398.921143027052,13398.921143027052
155835,169210.52729894084,-13375.52729894084,13375.52729894084
181000,167788.11452428598,13211.885475714022,13211.885475714022
158000,171163.07342065414,-13163.073420654138,13163.073420654138
123000,109873.66317416108,13126.336825838924,13126.336825838924
359100,346042.45184125955,13057.54815874045,13057.54815874045
153575,140525.5845152898,13049.415484710189,13049.415484710189
193879,180965.8340956453,12913.165904354712,12913.165904354712
451950,439066.4602888532,12883.53971114679,12883.53971114679
105900,118742.90518531503,-12842.90518531503,12842.90518531503
129900,142628.4521826836,-12728.452182683599,12728.452182683599
153900,166595.2086293219,-12695.208629321889,12695.208629321889
134432,147102.72176882176,-12670.721768821764,12670.721768821764
179900,192402.84850816397,-12502.848508163966,12502.848508163966
68400,80763.69993666965,-12363.699936669655,12363.699936669655
83500,95817.07306502356,-12317.073065023564,12317.073065023564
192500,204794.05032489137,-12294.050324891374,12294.050324891374
155000,142737.25165212425,12262.74834787575,12262.74834787575
164500,152245.1342357061,12254.865764293907,12254.865764293907
239000,251180.86920417525,-12180.869204175251,12180.869204175251
149500,161371.89893310826,-11871.898933108256,11871.898933108256
181134,192885.95876865258,-11751.958768652577,11751.958768652577
119000,107292.45507895824,11707.544921041757,11707.544921041757
165000,153301.73298529143,11698.267014708574,11698.267014708574
179400,168102.97165782534,11297.028342174657,11297.028342174657
102776,91611.88625374399,11164.113746256015,11164.113746256015
280000,291137.22376735526,-11137.223767355259,11137.223767355259
135000,146015.8567243896,-11015.856724389596,11015.856724389596
165500,154503.767529639,10996.232470360992,10996.232470360992
106000,116910.83928531373,-10910.839285313734,10910.839285313734
140000,150898.36377348364,-10898.363773483637,10898.363773483637
224500,213681.6971743273,10818.302825672698,10818.302825672698
244000,254777.00788278802,-10777.00788278802,10777.00788278802
239000,228374.98846752278,10625.01153247722,10625.01153247722
230000,219387.98044663915,10612.01955336085,10612.01955336085
213500,202926.3459134066,10573.654086593393,10573.654086593393
119500,129965.99916330723,-10465.999163307235,10465.999163307235
140000,150445.3793464908,-10445.379346490809,10445.379346490809
79900,90305.74556141645,-10405.74556141645,10405.74556141645
168500,178811.9342409442,-10311.934240944189,10311.934240944189
149900,160048.3258123633,-10148.325812363299,10148.325812363299
155000,165122.74563588394,-10122.74563588394,10122.74563588394
318061,328115.0934856868,-10054.093485686812,10054.093485686812
130000,140004.24907883172,-10004.249078831723,10004.249078831723
145000,135048.0547357315,9951.945264268492,9951.945264268492
213000,203085.7825559815,9914.21744401849,9914.21744401849
230000,239805.7068059411,-9805.706805941096,9805.706805941096
155000,145199.09259258615,9800.907407413848,9800.907407413848
118000,108214.69155593056,9785.308444069437,9785.308444069437
180000,170219.9672754879,9780.0327245121,9780.0327245121
112500,122256.19192444345,-9756.191924443454,9756.191924443454
185750,195176.55186220809,-9426.551862208085,9426.551862208085
86000,95422.1905162769,-9422.190516276896,9422.190516276896
149000,139682.05395630174,9317.946043698263,9317.946043698263
128950,119861.72183830914,9088.278161690861,9088.278161690861
140000,130917.29361206651,9082.70638793349,9082.70638793349
137500,128463.1377945162,9036.862205483805,9036.862205483805
183500,192534.61204461163,-9034.612044611626,9034.612044611626
176000,167010.09604988905,8989.903950110951,8989.903950110951
113000,121784.07364926404,-8784.073649264043,8784.073649264043
124900,116159.79102786953,8740.208972130466,8740.208972130466
192000,200618.07596226863,-8618.075962268631,8618.075962268631
67000,58587.44445989434,8412.555540105663,8412.555540105663
275000,266655.9135567334,8344.086443266599,8344.086443266599
187100,195405.2704079026,-8305.2704079026,8305.2704079026
193000,184841.62035669535,8158.379643304652,8158.379643304652
134500,126358.89257873356,8141.107421266439,8141.107421266439
145000,137044.47987804527,7955.520121954731,7955.520121954731
195400,203344.27098341068,-7944.270983410679,7944.270983410679
179540,171635.6437284771,7904.356271522905,7904.356271522905
125000,117220.9919209448,7779.008079055202,7779.008079055202
178000,170264.32255936283,7735.67744063717,7735.67744063717
310000,317667.8284921019,-7667.828492101922,7667.828492101922
118500,126151.25596364668,-7651.255963646676,7651.255963646676
124500,116965.23458978227,7534.765410217733,7534.765410217733
236000,243490.39888067843,-7490.398880678433,7490.398880678433
39300,46752.68893573691,-7452.688935736907,7452.688935736907
204900,212241.16105509538,-7341.161055095377,7341.161055095377
181000,173783.96600630225,7216.033993697754,7216.033993697754
82500,75293.76556674992,7206.23443325008,7206.23443325008
174000,167130.1796617548,6869.82033824519,6869.82033824519
240000,246787.17928681793,-6787.179286817933,6787.179286817933
176432,169681.4419602092,6750.558039790805,6750.558039790805
179000,185716.0168592727,-6716.016859272699,6716.016859272699
115000,108296.44688787355,6703.55311212645,6703.55311212645
91300,97829.79693833808,-6529.796938338084,6529.796938338084
135000,128508.5307788996,6491.4692211004,6491.4692211004
141000,147456.66550601242,-6456.665506012418,6456.665506012418
112000,105556.76866496477,6443.231335035234,6443.231335035234
127500,121198.04260747608,6301.957392523924,6301.957392523924
127000,120847.57230829388,6152.427691706122,6152.427691706122
100000,93956.51741998953,6043.482580010474,6043.482580010474
103200,97248.4041582271,5951.595841772898,5951.595841772898
132500,126843.66883418613,5656.33116581387,5656.33116581387
136000,130436.98666868532,5563.01333131468,5563.01333131468
67000,72488.12529642161,-5488.125296421611,5488.125296421611
175000,180403.3567883655,-5403.3567883654905,5403.3567883654905
159000,153757.8808448744,5242.119155125605,5242.119155125605
131000,136074.29854792968,-5074.298547929677,5074.298547929677
115000,109933.79152982401,5066.208470175989,5066.208470175989
135000,140035.96568137722,-5035.965681377216,5035.965681377216
197900,192968.78025395615,4931.219746043847,4931.219746043847
109008,113904.86704650195,-4896.867046501953,4896.867046501953
128200,132806.44735021342,-4606.447350213421,4606.447350213421
315500,320038.8666198813,-4538.866619881301,4538.866619881301
135500,131007.3150201203,4492.684979879705,4492.684979879705
250000,254434.60435375423,-4434.604353754228,4434.604353754228
244400,248756.41386934777,-4356.413869347773,4356.413869347773
130000,125678.31577848144,4321.684221518561,4321.684221518561
108000,112291.81412745718,-4291.814127457183,4291.814127457183
139000,143240.30029232436,-4240.300292324362,4240.300292324362
140000,144181.09887722353,-4181.098877223529,4181.098877223529
151000,155179.26363622863,-4179.2636362286285,4179.2636362286285
255000,250851.36993378555,4148.6300662144495,4148.6300662144495
147000,151060.88302903608,-4060.8830290360784,4060.8830290360784
185900,189897.7727124777,-3997.7727124776866,3997.7727124776866
119200,115299.66421146752,3900.3357885324804,3900.3357885324804
192000,188115.51282565796,3884.487174342037,3884.487174342037
195000,191139.32022296404,3860.6797770359553,3860.6797770359553
109000,112763.70616712401,-3763.706167124008,3763.706167124008
88000,91761.83361584811,-3761.8336158481106,3761.8336158481106
130250,133896.7686541969,-3646.7686541969015,3646.7686541969015
110000,113634.9884108827,-3634.9884108826955,3634.9884108826955
143000,146431.86037865342,-3431.8603786534222,3431.8603786534222
140000,136630.94147873748,3369.0585212625156,3369.0585212625156
68500,71682.11525682587,-3182.1152568258694,3182.1152568258694
122500,125632.99127991693,-3132.991279916925,3132.991279916925
137500,134530.86251155098,2969.1374884490215,2969.1374884490215
266000,268960.8221514389,-2960.822151438915,2960.822151438915
144000,141251.66602827574,2748.3339717242634,2748.3339717242634
92000,89297.40966006256,2702.5903399374365,2702.5903399374365
129000,126332.96678413721,2667.033215862786,2667.033215862786
175900,173272.97335139965,2627.026648600353,2627.026648600353
127500,125005.72681357857,2494.2731864214293,2494.2731864214293
144500,142311.37374950183,2188.6262504981714,2188.6262504981714
360000,362123.4807597363,-2123.480759736325,2123.480759736325
138000,140062.3306519806,-2062.330651980592,2062.330651980592
317000,314979.6668627995,2020.333137200505,2020.333137200505
197000,194984.075703227,2015.9242967730097,2015.9242967730097
191000,192886.5800751532,-1886.5800751532079,1886.5800751532079
106000,107853.69459440002,-1853.694594400018,1853.694594400018
172500,170708.314107027,1791.6858929730079,1791.6858929730079
127000,125246.76146288861,1753.2385371113924,1753.2385371113924
139000,140706.90847962868,-1706.908479628677,1706.908479628677
239500,241189.82508708662,-1689.8250870866177,1689.8250870866177
128500,130189.34476681479,-1689.3447668147855,1689.3447668147855
134500,136183.62774244565,-1683.6277424456493,1683.6277424456493
126000,127536.66519395412,-1536.6651939541189,1536.6651939541189
137500,139012.5313066519,-1512.5313066518866,1512.5313066518866
118500,119950.16742977423,-1450.1674297742284,1450.1674297742284
115000,113645.74099971663,1354.259000283375,1354.259000283375
145000,143752.36404666005,1247.6359533399518,1247.6359533399518
135000,136230.8854347242,-1230.8854347241868,1230.8854347241868
124000,122904.00609099746,1095.9939090025437,1095.9939090025437
151000,152029.04237570145,-1029.0423757014505,1029.0423757014505
272000,270995.40635764715,1004.5936423528474,1004.5936423528474
190000,190972.05407268513,-972.0540726851323,972.0540726851323
187500,188393.52824168507,-893.5282416850678,893.5282416850678
115000,114108.0661591495,891.9338408504991,891.9338408504991
119500,118668.10941451036,831.8905854896439,831.8905854896439
144500,145293.8412760646,-793.8412760646024,793.8412760646024
173500,174219.170397242,-719.1703972420073,719.1703972420073
119900,120613.55366464682,-713.5536646468245,713.5536646468245
124500,125174.00696799319,-674.0069679931912,674.0069679931912
154300,154941.4504482081,-641.4504482081102,641.4504482081102
113000,113629.66124912222,-629.6612491222186,629.6612491222186
135000,134390.5003796741,609.4996203258925,609.4996203258925
178000,178553.06834295156,-553.068342951563,553.068342951563
125500,126045.05356843476,-545.053568434756,545.053568434756
132500,132087.21448865935,412.7855113406549,412.7855113406549
200500,200191.6689607866,308.3310392134008,308.3310392134008
142500,142576.86800828288,-76.8680082828796,76.8680082828796
163500,163567.70753499394,-67.7075349939405,67.7075349939405
187500,187455.51215450498,44.487845495023066,44.487845495023066
