Feature,Type
SaleType_Oth,OneHot Encoded
SaleType_WD,OneHot Encoded
SaleCondition_Abnorml,OneHot Encoded
SaleCondition_AdjLand,OneHot Encoded
SaleCondition_Alloca,OneHot Encoded
SaleCondition_Family,OneHot Encoded
SaleCondition_Normal,OneHot Encoded
SaleCondition_Partial,OneHot Encoded
MSSubClass_120,OneHot Encoded
MSSubClass_160,OneHot Encoded
MSSubClass_180,OneHot Encoded
MSSubClass_190,OneHot Encoded
MSSubClass_20,OneHot Encoded
MSSubClass_30,OneHot Encoded
MSSubClass_40,OneHot Encoded
MSSubClass_45,OneHot Encoded
MSSubClass_50,OneHot Encoded
MSSubClass_60,OneHot Encoded
MSSubClass_70,OneHot Encoded
MSSubClass_75,OneHot Encoded
MSSubClass_80,OneHot Encoded
MSSubClass_85,OneHot Encoded
MSSubClass_90,OneHot Encoded
MoSold_1,OneHot Encoded
MoSold_10,OneHot Encoded
MoSold_11,OneHot Encoded
MoSold_12,OneHot Encoded
MoSold_2,OneHot Encoded
MoSold_3,OneHot Encoded
MoSold_4,OneHot Encoded
MoSold_5,OneHot Encoded
MoSold_6,OneHot Encoded
MoSold_7,OneHot Encoded
MoSold_8,OneHot Encoded
MoSold_9,OneHot Encoded
YrSold_2006,OneHot Encoded
YrSold_2007,OneHot Encoded
YrSold_2008,OneHot Encoded
YrSold_2009,OneHot Encoded
YrSold_2010,OneHot Encoded
CentralAir,Binary
Street,Binary
HasGarage,Binary
HasBasement,Binary
HasFireplace,Binary
