MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,HouseAge,RemodAge,TotalBath,TotalPorchSF,HasGarage,HasBasement,HasFireplace,HasPool,QualityIndex,SalePrice
60,RL,85.0,11924,Pave,nan,3,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,3,3,736,3,3,Y,147,21,0,0,0,0,0,nan,nan,0,7,2006,New,Partial,3499,1,0,4.0,21,1,1,1,0,7.0,345000
20,RL,69.0,12968,Pave,nan,2,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,BrkFace,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,1,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,1,1,352,3,3,Y,140,0,0,0,176,0,0,nan,nan,0,9,2008,WD,Normal,1824,46,46,2.0,176,1,1,0,0,5.5,144000
20,RL,91.0,10652,Pave,nan,3,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,2,3,840,3,3,Y,160,33,0,0,0,0,0,nan,nan,0,8,2007,New,Partial,2988,1,0,2.0,33,1,1,1,0,6.0,279500
20,RL,69.0,10920,Pave,nan,3,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,2,1,352,3,3,Y,0,213,176,0,0,0,0,GdWo,nan,0,5,2008,WD,Normal,2506,48,48,2.5,389,1,1,1,0,5.5,157000
45,RM,51.0,6120,Pave,nan,4,Lvl,AllPub,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,1,2,576,3,3,Y,48,112,0,0,0,0,0,GdPrv,nan,0,7,2007,WD,Normal,1686,78,6,1.0,112,1,1,0,0,7.5,132000
20,RL,69.0,11241,Pave,nan,3,Lvl,AllPub,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,3,2,480,3,3,Y,0,0,0,0,0,0,0,nan,Shed,700,3,2010,WD,Normal,2008,40,40,2.0,0,1,1,1,0,6.5,149000
90,RL,72.0,10791,Pave,nan,4,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,1,2,516,3,3,Y,0,0,0,0,0,0,0,nan,Shed,500,10,2006,WD,Normal,1296,39,39,2.0,0,1,0,0,0,4.5,90000
20,RL,66.0,13695,Pave,nan,4,Lvl,AllPub,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,1,2,576,3,3,Y,0,102,0,0,0,0,0,nan,nan,0,6,2008,WD,Normal,2228,4,4,2.5,102,1,1,0,0,5.0,159000
20,RL,70.0,7560,Pave,nan,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,BrkFace,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,1958.0,1,1,294,3,3,Y,0,0,0,0,0,0,0,MnPrv,nan,0,5,2009,COD,Abnorml,2368,51,44,1.0,0,1,1,0,0,5.5,139000
60,RL,101.0,14215,Pave,nan,3,Lvl,AllPub,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,2,3,853,3,3,Y,240,154,0,0,0,0,0,nan,nan,0,11,2006,New,Partial,3534,1,0,3.5,154,1,1,1,0,6.5,325300
45,RM,57.0,7449,Pave,Grvl,4,Bnk,AllPub,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,1,1,280,3,3,N,0,0,205,0,0,0,0,GdPrv,nan,0,6,2007,WD,Normal,1745,77,57,1.0,205,1,1,1,0,7.0,139400
20,RL,75.0,9742,Pave,nan,4,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,2,2,534,3,3,Y,171,159,0,0,0,0,0,nan,nan,0,9,2008,WD,Normal,3572,6,6,2.0,159,1,1,1,0,6.5,230000
120,RM,44.0,4224,Pave,nan,4,Lvl,AllPub,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,BrkFace,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,1,2,572,3,3,Y,100,110,0,0,0,0,0,nan,nan,0,6,2007,WD,Normal,2100,31,31,2.0,110,1,1,1,0,6.0,129900
20,RL,69.0,8246,Pave,nan,3,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,1,1,270,3,3,Y,406,90,0,0,0,0,0,MnPrv,nan,0,5,2010,WD,Normal,2120,42,9,2.0,90,1,1,1,0,6.5,154000
20,RL,110.0,14230,Pave,nan,4,Lvl,AllPub,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,2,3,890,3,3,Y,0,56,0,0,0,0,0,nan,nan,0,7,2009,WD,Normal,3166,2,2,2.0,56,1,1,1,0,6.5,256300
20,RL,60.0,7200,Pave,nan,4,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,1,2,576,3,3,Y,222,32,0,0,0,0,0,nan,nan,0,5,2010,WD,Normal,1800,59,10,1.5,32,1,1,0,0,6.0,134800
20,RL,98.0,11478,Pave,nan,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,2,3,772,3,3,Y,0,50,0,0,0,0,0,nan,nan,0,5,2010,WD,Normal,3408,3,2,3.0,50,1,1,1,0,6.5,306000
20,RL,47.0,16321,Pave,nan,3,Lvl,AllPub,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,2,1,319,3,3,Y,288,258,0,0,0,0,0,nan,nan,0,12,2006,WD,Normal,3084,49,9,2.0,258,1,1,1,0,5.5,207500
30,RM,60.0,6324,Pave,nan,3,Lvl,AllPub,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,1,1,240,2,3,Y,49,0,87,0,0,0,0,nan,nan,0,5,2008,WD,Normal,1040,81,58,1.0,87,1,1,0,0,5.0,68500
70,C (all),50.0,8500,Pave,Pave,4,Lvl,AllPub,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,0.0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,1,1,250,3,2,N,0,54,172,0,0,0,0,MnPrv,nan,0,7,2008,WD,Normal,1966,88,58,1.0,226,1,1,0,0,4.0,40000
20,RL,69.0,8544,Pave,nan,3,Lvl,AllPub,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,1,1,271,3,3,Y,0,65,0,0,0,0,0,MnPrv,nan,0,6,2008,WD,Normal,2456,42,2,1.5,65,1,1,0,0,5.5,149350
20,RL,85.0,11049,Pave,nan,4,Lvl,AllPub,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,2,2,484,3,3,Y,0,30,0,0,0,0,0,nan,nan,0,1,2008,WD,Normal,2468,1,1,2.0,30,1,1,0,0,6.5,179900
20,RL,70.0,10552,Pave,nan,3,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,BrkFace,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,2,2,447,3,3,Y,0,38,0,0,0,0,0,nan,nan,0,4,2010,WD,Normal,3098,51,51,2.0,38,1,1,1,0,5.0,165500
120,RL,60.0,7313,Pave,nan,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,3,2,556,3,3,Y,203,47,0,0,0,0,0,nan,nan,0,8,2007,WD,Normal,3122,2,2,3.0,47,1,1,1,0,7.0,277500
60,RL,108.0,13418,Pave,nan,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,3,3,691,3,3,Y,113,32,0,0,0,0,0,nan,nan,0,9,2006,WD,Normal,3569,2,1,3.5,32,1,1,1,0,6.5,309000
20,RL,112.0,10859,Pave,nan,4,Lvl,AllPub,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,1,2,672,3,3,Y,392,64,0,0,0,0,0,nan,nan,0,6,2009,WD,Normal,2194,15,14,1.5,64,1,1,0,0,5.0,145000
20,RL,74.0,8532,Pave,nan,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,3,2,498,3,3,Y,0,0,0,0,0,0,0,nan,nan,0,10,2009,WD,Normal,2594,55,19,1.5,0,1,1,1,0,5.5,153000
20,RL,68.0,7922,Pave,nan,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,1,1,246,3,3,Y,0,52,0,0,0,0,0,nan,nan,0,1,2010,WD,Abnorml,2114,57,3,2.0,52,1,1,0,0,6.0,109000
90,RL,65.0,6040,Pave,nan,4,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,BrkFace,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,nan,1980.0,0,0,0,0,0,N,0,0,0,0,0,0,0,nan,nan,0,6,2008,WD,AdjLand,1152,53,53,2.0,0,0,0,0,0,4.5,82000
20,RL,84.0,8658,Pave,nan,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,2,2,440,3,3,Y,0,138,0,0,0,0,0,GdWo,nan,0,12,2006,WD,Abnorml,2412,41,41,2.0,138,1,1,1,0,5.5,160000
20,RL,115.0,16905,Pave,nan,4,Lvl,AllPub,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,2,1,308,3,3,P,0,104,0,0,0,0,0,nan,nan,0,7,2007,WD,Normal,2678,48,48,2.0,104,1,1,1,0,5.5,170000
85,RL,69.0,9180,Pave,nan,3,Lvl,AllPub,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,1,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,2,2,504,3,4,Y,240,0,0,0,0,0,0,MnPrv,nan,0,12,2007,WD,Normal,1724,24,24,2.0,0,1,1,0,0,6.0,144000
20,RL,69.0,9200,Pave,nan,3,Lvl,AllPub,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,1,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,1,1,308,3,3,Y,145,0,0,0,0,0,0,MnPrv,nan,0,7,2008,WD,Normal,1876,33,28,2.0,0,1,1,0,0,5.5,130250
20,RL,70.0,7945,Pave,nan,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,2,1,300,3,3,Y,0,0,0,0,0,0,0,nan,nan,0,5,2006,WD,Normal,2300,47,47,2.0,0,1,1,0,0,5.5,141000
120,RL,61.0,7658,Pave,nan,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456,1,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,2,2,576,3,3,Y,196,82,0,0,0,0,0,nan,nan,0,2,2010,WD,Normal,3504,5,5,3.0,82,1,1,1,0,7.0,319900
50,RL,48.0,12822,Pave,nan,3,Lvl,AllPub,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,5,3,1,6,1351,1,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,2,2,670,3,3,Y,168,43,0,0,198,0,0,nan,nan,0,8,2009,WD,Abnorml,3583,6,6,2.5,241,1,1,1,0,6.0,239686
20,FV,84.0,11096,Pave,nan,4,Lvl,AllPub,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4,3,3,6,24,1,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,2,3,826,3,3,Y,0,146,0,0,0,0,0,nan,nan,0,7,2007,WD,Normal,3312,1,1,2.0,146,1,1,0,0,6.5,249700
